46,0,107934.04,1,1,33070.28,18690.93,73,544,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,0,109862.62,2,0,15329.53,37745.19,52,857,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,0,230153.17,2,0,48416.6,41598.36,43,650,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,0,122325.82,2,0,22574.36,32627.76,20,754,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,387286,1,0,38282.95,52950.64,75,927,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,252765.91,2,1,37046.86,40245.64,19,937,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,262389.2,3,0,50839.39,41311.08,42,733,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,241211.39,3,0,30008.46,32209.22,91,906,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,207109.13,4,0,9509.1,28425.52,14,666,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,79102.33,2,1,8074.63,13615.21,58,781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,1,158933.98,3,0,19942.29,39126.06,41,889,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0,68421.1,2,0,13781.53,17110.01,72,643,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
52,0,125141.5,2,0,65673.47,38854.6,40,909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,0,368556.71,2,0,74286.97,122481.96,41,874,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,0,746959.12,2,0,16834.71,188438.82,63,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0,145522.37,1,0,26365.91,29476.68,77,763,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,110975.59,4,1,16634.19,24027.62,87,582,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,0,198608.52,2,0,61155.24,31554.66,84,699,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1,86956.02,3,0,34644.51,14726.33,97,753,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,123082.75,2,0,19625.83,42005.38,74,710,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,2,136743.6,4,1,15990.33,47053.67,69,893,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2,217697.92,4,0,27509.83,48384.25,84,519,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,95256.28,2,0,11543.09,34545.88,19,895,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,2,170618.43,3,0,21476.67,26919.68,83,801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,1,118499.04,3,0,9830.79,27462.45,83,880,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,154638.7,2,0,52954.56,20249.08,50,943,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,229423.56,2,0,36998.7,25435.02,28,795,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,0,172067.42,2,0,24199.23,22155.88,49,886,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,133374.38,2,1,29558.32,16962.2,98,832,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,1,99199.53,3,0,16130.89,17474.98,36,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,206413.69,2,0,22419.59,74423.73,72,766,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,152418.94,2,0,37194.56,17749.23,99,904,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0,224495.72,2,0,23289.01,70967.55,23,919,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,156486.8,3,0,67136.81,27020.25,3,922,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,71277,2,1,25201.22,13851.29,63,673,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,359555.12,2,0,41878.34,83571.96,8,738,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0,128362.79,2,0,15151.82,46066.92,30,684,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,112168.78,2,0,38577.08,23394.54,77,851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,200755.45,3,1,25418.57,43699.79,10,695,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,0,128100.65,2,0,20549.92,25796.37,61,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,1,223787.52,2,1,18806.78,86882.47,10,724,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,92260.01,2,0,27946.64,26257.53,32,931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,173396.95,1,0,10764.89,28296.94,3,811,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
